rank,gene_symbol,gene_full_name,tp53_category,in_tp53_pathway,mean_abs_shap,mean_signed_shap
1,CDKN1A,CDKN1A (1026),TP53 direct target,True,1.2702674,0.0106706545
2,CDKN2A,CDKN2A (1029),wider pathway,True,0.39253363,0.0106523475
3,INPP5D,INPP5D (3635),other,False,0.33740076,0.018530518
4,PHLDA3,PHLDA3 (23612),TP53 direct target,True,0.31097123,0.0059692822
5,BTG2,BTG2 (7832),TP53 direct target,True,0.23003516,0.034175623
6,CYFIP2,CYFIP2 (26999),TP53 direct target,True,0.20599537,0.024748903
7,AKR1C3,AKR1C3 (8644),other,False,0.09815118,0.015932422
8,CNKSR1,CNKSR1 (10256),other,False,0.09760241,0.004471595
9,ACTA2,ACTA2 (59),other,False,0.09473249,0.00072424766
10,PHGDH,PHGDH (26227),other,False,0.09144461,-0.00020934007
11,CTHRC1,CTHRC1 (115908),other,False,0.08605806,0.0065553845
12,NECTIN4,NECTIN4 (81607),other,False,0.07859411,-0.0009308457
13,LXN,LXN (56925),other,False,0.07292162,-0.0019390314
14,TNFRSF10D,TNFRSF10D (8793),TP53 direct target,True,0.0702663,-0.002859659
15,VGLL1,VGLL1 (51442),other,False,0.07003394,0.0077713095
16,ST3GAL6,ST3GAL6 (10402),other,False,0.06985412,0.0022900854
17,FAS,FAS (355),TP53 direct target,True,0.06889774,0.009854895
18,SLFN5,SLFN5 (162394),other,False,0.068466015,0.01170086
19,PLEKHG4,PLEKHG4 (25894),other,False,0.068224505,0.008250999
20,TRIM22,TRIM22 (10346),other,False,0.0666908,0.0062198085
